"card_type","card_name","banned","dealt","drafted","played","won","ADP","PWR"
"MinorImprovement","Abandoned Willow","0","1,343","874","560","172","5.2","1.8"
"MinorImprovement","Absinthe","0","1,569","1,446","1,221","452","3.6","4.1"
"MinorImprovement","Acreage","0","1,443","1,206","1,016","270","4.5","2.7"
"MinorImprovement","Alchemist's Lab","1","1,172","1,054","773","256","4.4","3.1"
"MinorImprovement","Allegory","0","1,054","946","529","174","4.2","2.4"
"MinorImprovement","Alms","0","1,352","658","499","196","4.7","2.1"
"MinorImprovement","Alms Basket","0","1,168","596","464","167","4.4","2.0"
"MinorImprovement","Almshouse","0","1,541","1,388","1,201","386","3.3","3.6"
"MinorImprovement","Alternative Materials","0","926","199","81","18","6.1","0.3"
"MinorImprovement","Amusement Park","0","1,368","1,247","934","290","4.2","3.0"
"MinorImprovement","Angry Boy","0","436","417","341","87","3.6","2.9"
"MinorImprovement","Animal Feed","0","1,365","755","285","100","5.8","1.0"
"MinorImprovement","Animal Nursery","0","1,144","403","151","44","6.0","0.5"
"MinorImprovement","Animal Pen","0","1,603","1,603","1,393","433","1.3","3.9"
"MinorImprovement","Animal Trap","0","1,194","939","571","216","4.2","2.6"
"MinorImprovement","Animal Yard","0","1,367","1,135","791","206","4.5","2.2"
"MinorImprovement","Apiary","0","1,376","1,325","1,074","369","2.6","3.8"
"MinorImprovement","Apple Garden","0","1,339","400","287","96","5.9","1.0"
"MinorImprovement","Apple Tree","0","1,351","812","475","113","5.3","1.2"
"MinorImprovement","Apprenticeship","0","1,281","721","360","122","5.5","1.4"
"MinorImprovement","Aquavit","0","1,043","942","804","278","4.1","3.8"
"MinorImprovement","Archangel","0","887","805","725","210","3.9","3.4"
"MinorImprovement","Art","0","606","555","319","103","3.9","2.4"
"MinorImprovement","Artichoke Field","0","1,183","1,124","877","260","4.0","3.1"
"MinorImprovement","Artists Garden","0","1,579","1,525","1,293","412","2.8","3.7"
"MinorImprovement","Attic","0","1,417","609","424","108","5.6","1.1"
"MinorImprovement","Avalanche","0","278","180","103","31","5.5","1.6"
"MinorImprovement","Axe","0","1,623","1,613","1,476","445","1.5","3.9"
"MinorImprovement","Baby Sling","0","1,304","1,186","1,039","346","3.0","3.8"
"MinorImprovement","Back Door","0","1,359","1,268","760","192","3.9","2.0"
"MinorImprovement","Backyard Well","0","1,510","1,368","1,093","323","3.4","3.1"
"MinorImprovement","Badger","1","982","166","83","22","6.3","0.3"
"MinorImprovement","Baguette","0","1,397","640","467","144","5.7","1.5"
"MinorImprovement","Bakehouse","0","1,382","902","430","128","5.2","1.3"
"MinorImprovement","Baker's Kitchen","0","1,333","858","435","143","5.1","1.5"
"MinorImprovement","Baker's Oven","0","1,427","948","552","192","5.0","1.9"
"MinorImprovement","Baker's Tool","0","52","20","12","2","4.8","0.5"
"MinorImprovement","Bakery","0","1,210","1,101","728","220","3.5","2.6"
"MinorImprovement","Baking Field","0","5","4","4","2","5.0","5.7"
"MinorImprovement","Baking Tray","0","1,359","1,115","714","164","4.1","1.7"
"MinorImprovement","Bamboo","0","1,363","1,322","1,090","320","2.8","3.4"
"MinorImprovement","Banana Tree","0","1,016","875","723","183","4.1","2.6"
"MinorImprovement","Barber Shop","0","1,341","1,267","951","237","3.3","2.5"
"MinorImprovement","Bark Breads","0","884","401","275","77","5.9","1.2"
"MinorImprovement","Barn","0","1,267","1,194","1,094","318","2.7","3.6"
"MinorImprovement","Barren Field","0","113","84","70","23","5.1","2.9"
"MinorImprovement","Bartering Shack","0","898","671","489","172","5.1","2.7"
"MinorImprovement","Basket","1","1,419","346","190","42","5.6","0.4"
"MinorImprovement","Bathroom","0","1,106","501","267","76","6.0","1.0"
"MinorImprovement","Bean Hole","0","908","761","552","174","4.3","2.7"
"MinorImprovement","Beanfield","0","1,596","1,484","1,291","387","3.5","3.5"
"MinorImprovement","Beehive","0","1,592","1,592","1,487","460","1.9","4.1"
"MinorImprovement","Birdcage","0","1,432","810","463","117","4.9","1.2"
"MinorImprovement","Birth Well","1","449","426","334","113","2.7","3.6"
"MinorImprovement","Black Swan Lake","0","1,297","1,284","1,219","396","2.3","4.4"
"MinorImprovement","Boar Breeding","0","1,361","943","656","188","5.5","2.0"
"MinorImprovement","Boar Trap","0","952","682","442","79","4.4","1.2"
"MinorImprovement","Boarding School","1","655","609","463","180","2.1","3.9"
"MinorImprovement","Bonanza","0","725","584","425","120","4.5","2.4"
"MinorImprovement","Bonfire","0","1,383","902","560","141","5.2","1.5"
"MinorImprovement","Bonus","0","1,182","679","351","97","5.3","1.2"
"MinorImprovement","Bonus Room","0","941","919","504","142","2.8","2.2"
